Date;Libell�;D�bit euros;Cr�dit euros;
17/09/2025;"PAIEMENT PAR CARTE      
X6977 Leetchi SA 75 Paris  16/09  


";15,00;;
16/09/2025;"PRELEVEMENT             
0228513 CRCAM CENTRE LOIRE CREDIT AGRICOLE ASSURANCE PROTECTION JURIDIQUE -ECHEANCE 09/2025 COTISATION DU CONTRAT PACIFICA 10514803906 
00000000000000000000010132278906PCK
FR80ZZZ224774                      
000496346827906                    ";6,50;;
15/09/2025;"PAIEMENT PAR CARTE      
X6977 L ANTIROUILLE ORLEAN 12/09  


";40,00;;
15/09/2025;"VIREMENT EMIS           
VIR INST vers Paul Apside  


Cadeau                             ";29,72;;
15/09/2025;"VIREMENT EN VOTRE FAVEUR
COMITE D ENTREPRISE APSIDE VIR I VIR INST ORLEANS POKER   SUSHI 


VIR INST ORLEANS POKER   SUSHI     ";;58,26;
15/09/2025;"VIREMENT EN VOTRE FAVEUR
COMITE D ENTREPRISE APSIDE Repas REPAS ORLEANS 11/09 


Repas CSE apside                   ";;29,72;
12/09/2025;"PAIEMENT PAR CARTE      
X6977 BOWLING SARAN        11/09  


";10,50;;
12/09/2025;"PAIEMENT PAR CARTE      
X6977 BOWLING SARAN        11/09  


";7,90;;
10/09/2025;"PAIEMENT PAR CARTE      
X6977 carrefour orl ORLEAN 09/09  


";58,26;;
10/09/2025;"PRELEVEMENT             
DIRECTION GENERALE DES FINANCES 600219762014TLR2545420231019    TLRSEPA DGFIP IMPOT TF 
NNFR46ZZZ0050022545420231019R762014
FR46ZZZ005002                      
2P0670000TLR254542023101945054     ";1�372,00;;
08/09/2025;"PAIEMENT PAR CARTE      
X6977 LA REDOUTE ROUBAIX   07/09  


";76,86;;
08/09/2025;"VIREMENT EN VOTRE FAVEUR
DE MONSIEUR CHANDELLIER LOUIS  


";;300,00;
08/09/2025;"PRELEVEMENT             
ELECTRICITE DE FRANCE CHANDELLIER          LOUIS                Numero de client : 6029203798 - Numero de compte : 4050292632 
MM9760292037980001                 
FR47EDF001007                      
Z123753664439 11405 1   SIMM    114";57,19;;
08/09/2025;"PAIEMENT PAR CARTE      
X6977 Z EVENT 202 06666666 05/09  


";98,60;;
07/09/2025;"VIREMENT EN VOTRE FAVEUR
taxe fonciere MONSIEUR CHANDELLI taxe fonciere 


";;1�372,00;
07/09/2025;"VIREMENT EN VOTRE FAVEUR
DE MONSIEUR CHANDELLIER LOUIS  


";;200,00;
07/09/2025;"VIREMENT EMIS           
VIR INST vers Revolut Repas 


";200,00;;
05/09/2025;"PAIEMENT PAR CARTE      
X6977 LIDL 3814 SARAN      04/09  


";19,18;;
05/09/2025;"PRELEVEMENT             
0225982 CRCAM CENTRE LOIRE CREDIT AGRICOLE ASSURANCE HABITATION -ECHEANCE 09/2025 COTISATION DU CONTRAT PACIFICA 6622603906 
00000000000000000000005282347906PCK
FR80ZZZ224774                      
000495171325906                    ";25,93;;
05/09/2025;"REMBOURSEMENT DE PRET   
00002557971 ECHEANCE 05/09/25  


";749,14;;
05/09/2025;"REMBOURSEMENT DE PRET   
00002557972 ECHEANCE 05/09/25  


";45,99;;
04/09/2025;"PRELEVEMENT             
ORANGE SA Votre abonnement mobile: 06XXXXX469 (facture: 5232144244) 
M0031557200                        
FR18ZZZ002305                      
200802547055570979523214424450     ";63,99;;
02/09/2025;"REGLEMENT               
ASSU. CAAE PRET HABITAT 09/25  


";13,41;;
02/09/2025;"PAIEMENT PAR CARTE      
X6977 AUCHAN DAC ORLEANS   01/09  


";63,00;;
02/09/2025;"PAIEMENT PAR CARTE      
X6977 AUCHAN SUPERMARC ORL 01/09  


";46,31;;
02/09/2025;"VIREMENT EN VOTRE FAVEUR
AXA FRANCE VIE I0000150252319 FRAIS DE SOINS :  SG 0963 


I0000150252319                     ";;22,95;
29/08/2025;"VIREMENT EN VOTRE FAVEUR
C.P.A.M. ORLEANS 252400002668 252400002668 


252400002668                       ";;20,05;
29/08/2025;"VIREMENT EMIS           
WEB MONSIEUR CHANDELLIER Epargne  


Epargne 09                         ";1�500,00;;
29/08/2025;"VIREMENT EMIS           
WEB MONSIEUR CHANDELLIER Reste 0  


Reste 08                           ";615,00;;
28/08/2025;"PAIEMENT PAR CARTE      
X6977 PINO GELATO ORLEANS  27/08  


";14,00;;
28/08/2025;"PAIEMENT PAR CARTE      
X6977 OH TERROIR ORLEANS   27/08  


";15,90;;
27/08/2025;"PAIEMENT PAR CARTE      
X6977 Leetchi SA 75 Paris  26/08  


";15,00;;
27/08/2025;"PAIEMENT PAR CARTE      
X6977 BONNE PIOCHE ORLEANS 26/08  


";5,00;;
27/08/2025;"VIREMENT EN VOTRE FAVEUR
APSIDE-CIC PARIS ETOILE ENTREPRI 14806 


25238-023-34                       ";;2�645,04;
26/08/2025;"PAIEMENT PAR CARTE      
X6977 LECOINTE THIBAUT OLI 25/08  


";45,00;;
25/08/2025;"PAIEMENT PAR CARTE      
X6977 ALINEA ORLEANS SARAN 23/08  


";904,28;;
25/08/2025;"PAIEMENT PAR CARTE      
X6977 LE PONTON ORLEANS    22/08  


";39,00;;
25/08/2025;"PAIEMENT PAR CARTE      
X6977 MISE EN SCENE ORLEAN 22/08  


";31,00;;
25/08/2025;"PAIEMENT PAR CARTE      
X6977 PIZZA OH TERROIR ORL 22/08  


";16,00;;
23/08/2025;"VIREMENT EN VOTRE FAVEUR
DE MONSIEUR CHANDELLIER LOUIS  


";;1�500,00;
22/08/2025;"PAIEMENT PAR CARTE      
X6977 IL DON VITTORIO SARA 21/08  


";25,50;;
22/08/2025;"VIREMENT EN VOTRE FAVEUR
DE MONSIEUR CHANDELLIER LOUIS  


";;200,00;
22/08/2025;"PAIEMENT PAR CARTE      
X6977 AUCHAN SUPERMARC ORL 21/08  


";18,46;;
19/08/2025;"PRELEVEMENT             
PREDICA CREDIT AGRICOLE ASSURANCE VIE PREDISSIME 9 SERIE 2 ECHEANCE 08/2025 - VERSEMENT REGULIER CONTRAT 84872054033649          -UCP432508160134331 
00/62000976042/15022024/01         
FR88ZZZ237434                      
84872054033649UCIX.35228GDE6006466R";50,00;;
18/08/2025;"PRELEVEMENT             
0221814 CRCAM CENTRE LOIRE CREDIT AGRICOLE ASSURANCE PROTECTION JURIDIQUE -ECHEANCE 08/2025 COTISATION DU CONTRAT PACIFICA 10514803906 
00000000000000000000010132278906PCK
FR80ZZZ224774                      
000493022151906                    ";6,50;;
18/08/2025;"PAIEMENT PAR CARTE      
X6977 GIGAFIT ORLEANS ST A 15/08  


";39,90;;
14/08/2025;"PAIEMENT PAR CARTE      
X6977 ORLEANS GESTION FLEU 13/08  


";6,80;;
11/08/2025;"PAIEMENT PAR CARTE      
X6977 CHATEAU FOUGERES 41  09/08  


";14,00;;
11/08/2025;"PAIEMENT PAR CARTE      
X6977 COFIROUTE 28630      08/08  


";14,30;;
11/08/2025;"PAIEMENT PAR CARTE      
X6977 PALAIS DES EPICES TO 09/08  


";7,28;;
08/08/2025;"PRELEVEMENT             
ELECTRICITE DE FRANCE CHANDELLIER          LOUIS                Numero de client : 6029203798 - Numero de compte : 4050292632 
MM9760292037980001                 
FR47EDF001007                      
Z123003879335 11405 1   SIMM    114";57,19;;
07/08/2025;"VIREMENT EN VOTRE FAVEUR
DE MONSIEUR CHANDELLIER LOUIS  


";;200,00;
06/08/2025;"PAIEMENT PAR CARTE      
X6977 MP*CARREFOUR DAC VL  05/08  


";72,01;;
05/08/2025;"PRELEVEMENT             
0229673 CRCAM CENTRE LOIRE CREDIT AGRICOLE ASSURANCE HABITATION -ECHEANCE 08/2025 COTISATION DU CONTRAT PACIFICA 6622603906 
00000000000000000000005282347906PCK
FR80ZZZ224774                      
000491961409906                    ";25,93;;
05/08/2025;"VIREMENT EMIS           
WEB Revolut Repas Repas 


";200,00;;
05/08/2025;"REMBOURSEMENT DE PRET   
00002557971 ECHEANCE 05/08/25  


";749,14;;
05/08/2025;"REMBOURSEMENT DE PRET   
00002557972 ECHEANCE 05/08/25  


";45,99;;
04/08/2025;"REGLEMENT               
ASSU. CAAE PRET HABITAT 08/25  


";13,41;;
04/08/2025;"VIREMENT EN VOTRE FAVEUR
DE MONSIEUR CHANDELLIER LOUIS  


";;200,00;
04/08/2025;"PRELEVEMENT             
ORANGE SA Votre abonnement mobile: 06XXXXX469 (facture: 5225044810) 
M0031557200                        
FR18ZZZ002305                      
200802547055214982522504481050     ";63,99;;
01/08/2025;"REMISE DE CHEQUE        
5653740  


";;108,54;
01/08/2025;"PAIEMENT PAR CARTE      
X6977 Leetchi SA 75 Paris  31/07  


";15,00;;
31/07/2025;"PAIEMENT PAR CARTE      
X6977 TEMPS POUR TANT OLIV 30/07  


";25,50;;
31/07/2025;"PAIEMENT PAR CARTE      
X6977 BOULANGERIE NADAL FL 30/07  


";20,25;;
31/07/2025;"PAIEMENT PAR CARTE      
X6977 TEMPS POUR TANT OLIV 30/07  


";16,00;;
31/07/2025;"VIREMENT EN VOTRE FAVEUR
AXA FRANCE VIE I0000149493094 FRAIS DE SOINS :  SG 0963 


I0000149493094                     ";;9,00;
30/07/2025;"PAIEMENT PAR CARTE      
X6977 AQUALIGE ORLEANS     29/07  


";211,52;;
30/07/2025;"PRELEVEMENT             
PayPal Europe S.a.r.l. et Cie S. 1043811022010/PAYPAL 
5YE2224XC9V9L                      
LU96ZZZ0000000000000000058         
1043811022010                      ";96,90;;
29/07/2025;"VIREMENT EMIS           
WEB MONSIEUR CHANDELLIER epargne epargne 08 


";2�500,00;;
29/07/2025;"VIREMENT EMIS           
WEB MONSIEUR CHANDELLIER epargne epargne 07 


";173,00;;
29/07/2025;"VIREMENT EN VOTRE FAVEUR
facture eau merci M.       HANNO Facture d'eau merci 


facture eau merci                  ";;51,00;
29/07/2025;"PAIEMENT PAR CARTE      
X6977 OICHI ORLEANS        28/07  


";14,50;;
29/07/2025;"PAIEMENT PAR CARTE      
X6977 BONNE PIOCHE ORLEANS 28/07  


";7,50;;
29/07/2025;"VIREMENT EN VOTRE FAVEUR
APSIDE-CIC PARIS ETOILE ENTREPRI 14806 


25209-024-36                       ";;3�726,20;
29/07/2025;"VIREMENT EN VOTRE FAVEUR
C.P.A.M. ORLEANS 252090002819 252090002819 


252090002819                       ";;9,00;
28/07/2025;"PAIEMENT PAR CARTE      
X6977 MAYA VERTICALE ST JE 25/07  


";17,00;;
28/07/2025;"PAIEMENT PAR CARTE      
X6977 LE MARAICHER ST PRYV 26/07  


";21,64;;
27/07/2025;"VIREMENT EMIS           
WEB MONSIEUR CHANDELLIER LOU  


";78,00;;
25/07/2025;"VIREMENT EN VOTRE FAVEUR
SELARL NOTAIRES EN MER 017138001 VIRT A M. CHANDELLIER LOUIS SOLDE COMPTE CONFRERE VENTE Blanchard-Huguet./ CHANDELLIER LOUIS 


0171380012633                      ";;77,82;
24/07/2025;"PAIEMENT PAR CARTE      
X6977 MC DO SANILHAC       23/07  


";29,45;;
24/07/2025;"PAIEMENT PAR CARTE      
X6977 COFIROUTE 28630      23/07  


";7,30;;
23/07/2025;"PAIEMENT PAR CARTE      
X6977 AUBERGE D ASTAU OO   22/07  


";11,00;;
23/07/2025;"PAIEMENT PAR CARTE      
X6977 AU MALAKOFF LES GETS 22/07  


";6,00;;
21/07/2025;"RETRAIT AU DISTRIBUTEUR 
X6977 ARREAU         20/07 14H55  


";310,00;;
21/07/2025;"PAIEMENT PAR CARTE      
X6977 GFJ DISTRI ARREAU    20/07  


";17,16;;
18/07/2025;"PAIEMENT PAR CARTE      
X6977 AUCHAN DAC ORLEANS   17/07  


";26,64;;
18/07/2025;"PAIEMENT PAR CARTE      
X6977 ASF-MONTAUBAN NORD V 17/07  


";15,90;;
18/07/2025;"PAIEMENT PAR CARTE      
X6977 ANIMCULTLOUDEN       17/07  


";14,00;;
18/07/2025;"PAIEMENT PAR CARTE      
X6977 COFIROUTE 28630      17/07  


";7,30;;
18/07/2025;"VIREMENT EMIS           
VIR INST vers Revolut  


";150,00;;
18/07/2025;"PAIEMENT PAR CARTE      
X6977 GFJ DISTRI ARREAU    17/07  


";58,07;;
18/07/2025;"PAIEMENT PAR CARTE      
X6977 BECAM ORLEANS        17/07  


";7,75;;
17/07/2025;"RETRAIT AU DISTRIBUTEUR 
X6977 0Point Cash ATM 4516 16/07  


";50,00;;
17/07/2025;"PRELEVEMENT             
PREDICA PREVOYANCE DIALOGUE DU C CREDIT AGRICOLE ASSURANCE VIE PREDISSIME 9 SERIE 2 ECHEANCE 07/2025 - VERSEMENT REGULIER CONTRAT 84872054033649          -UCP432507160057071 
00/62000976042/15022024/01         
FR88ZZZ237434                      
84872054033649UCIX.35197GDE6004159R";50,00;;
16/07/2025;"PAIEMENT PAR CARTE      
X6977 DECATHLON ORLEAN 004 15/07  


";10,99;;
16/07/2025;"PRELEVEMENT             
0225885 CRCAM CENTRE LOIRE CREDIT AGRICOLE ASSURANCE PROTECTION JURIDIQUE -ECHEANCE 07/2025 COTISATION DU CONTRAT PACIFICA 10514803906 
00000000000000000000010132278906PCK
FR80ZZZ224774                      
000489937087906                    ";6,50;;
16/07/2025;"PAIEMENT PAR CARTE      
X6977 DARTY OLIVET 850/    15/07  


";39,99;;
15/07/2025;"PAIEMENT PAR CARTE      
X6977 ORLEANS GESTION      12/07  


";3,00;;
09/07/2025;"PRELEVEMENT             
ELECTRICITE DE FRANCE CHANDELLIER          LOUIS                Numero de client : 6029203798 - Numero de compte : 4050292632 
MM9760292037980001                 
FR47EDF001007                      
Z024885124487 11405 1   SIMM    114";141,00;;
07/07/2025;"PRELEVEMENT             
0223170 CRCAM CENTRE LOIRE CREDIT AGRICOLE ASSURANCE HABITATION -ECHEANCE 07/2025 COTISATION DU CONTRAT PACIFICA 6622603906 
00000000000000000000005282347906PCK
FR80ZZZ224774                      
000488733228906                    ";25,93;;
05/07/2025;"REMBOURSEMENT DE PRET   
00002557971 ECHEANCE 05/07/25  


";749,14;;
05/07/2025;"REMBOURSEMENT DE PRET   
00002557972 ECHEANCE 05/07/25  


";45,99;;
04/07/2025;"PRELEVEMENT             
ORANGE SA Votre abonnement mobile: 06XXXXX469 (facture: 5217952766) 
M0031557200                        
FR18ZZZ002305                      
200802547055868399521795276650     ";63,99;;
02/07/2025;"REGLEMENT               
ASSU. CAAE PRET HABITAT 07/25  


";13,41;;
02/07/2025;"VIREMENT EMIS           
WEB MONSIEUR CHANDELLIER Prime v  


Prime vacances                     ";900,00;;
01/07/2025;"VIREMENT EN VOTRE FAVEUR
AXA FRANCE VIE I0000148591692 FRAIS DE SOINS :  SG 0963 


I0000148591692                     ";;30,44;
01/07/2025;"VIREMENT EMIS           
WEB Revolut Miam Miam Miam Miam 


";200,00;;
30/06/2025;"PAIEMENT PAR CARTE      
X6977 AUCHAN DAC ORLEANS   29/06  


";62,01;;
30/06/2025;"PAIEMENT PAR CARTE      
X6977 AUCHAN SUPERMARC ORL 29/06  


";36,77;;
30/06/2025;"PAIEMENT PAR CARTE      
X6977 BRICO DEPOT SARAN 23 28/06  


";59,46;;
27/06/2025;"VIREMENT EMIS           
WEB MONSIEUR CHANDELLIER Epargne  


Epargne 06                         ";600,00;;
27/06/2025;"VIREMENT EN VOTRE FAVEUR
C.P.A.M. ORLEANS 251770002845 251770002845 


251770002845                       ";;38,66;
26/06/2025;"PAIEMENT PAR CARTE      
X6977 BRICO DEPOT SARAN 23 25/06  


";38,47;;
26/06/2025;"VIREMENT EN VOTRE FAVEUR
APSIDE-CIC PARIS ETOILE ENTREPRI 14806 


25176-023-38                       ";;3�314,07;
26/06/2025;"VIREMENT EN VOTRE FAVEUR
CSE APSIDE LOUIS---Subvention-Sp Vers 7113 - CHANDELLIER LOUIS - Subvention Sport 


LOUIS---Subvention-Sport--         ";;70,00;
25/06/2025;"PAIEMENT PAR CARTE      
X6977 TUDOR CAMELIA OLIVET 24/06  


";76,10;;
25/06/2025;"PAIEMENT PAR CARTE      
X6977 POKSU ORLEANS        24/06  


";34,90;;
23/06/2025;"PAIEMENT PAR CARTE      
X6977 TRUFFAUT ORLEANS SAI 22/06  


";44,58;;
19/06/2025;"PAIEMENT PAR CARTE      
X6977 DECATHLON ORLEAN 004 18/06  


";48,97;;
17/06/2025;"PRELEVEMENT             
PREDICA CREDIT AGRICOLE ASSURANCE VIE PREDISSIME 9 SERIE 2 ECHEANCE 06/2025 - VERSEMENT REGULIER CONTRAT 84872054033649          -UCP432506160105465 
00/62000976042/15022024/01         
FR88ZZZ237434                      
84872054033649UCIX.35167GDE6001940R";50,00;;
16/06/2025;"PAIEMENT PAR CARTE      
X6977 LYFPAY 6012 STRASBOU 15/06  


";20,00;;
16/06/2025;"PRELEVEMENT             
0229924 CRCAM CENTRE LOIRE CREDIT AGRICOLE ASSURANCE PROTECTION JURIDIQUE -ECHEANCE 06/2025 COTISATION DU CONTRAT PACIFICA 10514803906 
00000000000000000000010132278906PCK
FR80ZZZ224774                      
000486785732906                    ";6,50;;
16/06/2025;"PAIEMENT PAR CARTE      
X6977 PARKG ORLEANS GESTIO 14/06  


";1,50;;
10/06/2025;"PRELEVEMENT             
ELECTRICITE DE FRANCE CHANDELLIER          LOUIS                Numero de client : 6029203798 - Numero de compte : 4050292632 
MM9760292037980001                 
FR47EDF001007                      
Z122853611979 11405 1   SIMM    114";141,00;;
10/06/2025;"PAIEMENT PAR CARTE      
X6977 VAL EQUIPEMENT SAINT 07/06  


";27,15;;
05/06/2025;"PRELEVEMENT             
ORANGE SA Votre abonnement mobile: 06XXXXX469 (facture: 5210885789) 
M0031557200                        
FR18ZZZ002305                      
200802547055535169521088578950     ";63,99;;
05/06/2025;"PRELEVEMENT             
0227872 CRCAM CENTRE LOIRE CREDIT AGRICOLE ASSURANCE HABITATION -ECHEANCE 06/2025 COTISATION DU CONTRAT PACIFICA 6622603906 
00000000000000000000005282347906PCK
FR80ZZZ224774                      
000485677253906                    ";25,93;;
05/06/2025;"REMBOURSEMENT DE PRET   
00002557971 ECHEANCE 05/06/25  


";749,14;;
05/06/2025;"REMBOURSEMENT DE PRET   
00002557972 ECHEANCE 05/06/25  


";45,99;;
04/06/2025;"VIREMENT EN VOTRE FAVEUR
AXA FRANCE VIE I0000147727785 FRAIS DE SOINS :  SG 0963 


I0000147727785                     ";;38,00;
03/06/2025;"REGLEMENT               
ASSU. CAAE PRET HABITAT 06/25  


";13,41;;
03/06/2025;"PAIEMENT PAR CARTE      
X6977 I RADDI DI SANTO SPI 01/06  


";25,00;;
03/06/2025;"PAIEMENT PAR CARTE      
X6977 AUTOGRILL 7019 FIREN 01/06  


";5,60;;
03/06/2025;"PAIEMENT PAR CARTE      
X6977 AUCHAN SUPERMARC ORL 02/06  


";28,31;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 GIUNTI AL PUNTO - S. 01/06  


";14,00;;
02/06/2025;"PAIEMENT PAR CARTE      
X6977 Firenze Duty Free FI 01/06  


";13,20;;
